ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-03-20,901.0996161380142,592.4036900803471,1082.567843729239,901.0996161380142,901.0996161380142,-71.8830455885907,-71.8830455885907,-71.8830455885907,-26.348946947668342,-26.348946947668342,-26.348946947668342,-45.53409864092237,-45.53409864092237,-45.53409864092237,0.0,0.0,0.0,829.2165705494235
2020-03-21,901.0891049403112,617.6888701564174,1118.7145054859066,901.0891049403112,901.0891049403112,-31.980570652273986,-31.980570652273986,-31.980570652273986,5.516960428138885,5.516960428138885,5.516960428138885,-37.49753108041288,-37.49753108041288,-37.49753108041288,0.0,0.0,0.0,869.1085342880373
2020-03-22,901.0785937426083,624.6590603011172,1141.3909136164827,901.0785937426083,901.0785937426083,-19.387874352195674,-19.387874352195674,-19.387874352195674,9.757778783419619,9.757778783419619,9.757778783419619,-29.145653135615294,-29.145653135615294,-29.145653135615294,0.0,0.0,0.0,881.6907193904126
2020-03-23,901.0680825449055,644.4369334986383,1128.014140872217,901.0680825449055,901.0680825449055,-5.221828904169945,-5.221828904169945,-5.221828904169945,15.325618498902426,15.325618498902426,15.325618498902426,-20.54744740307237,-20.54744740307237,-20.54744740307237,0.0,0.0,0.0,895.8462536407355
2020-03-24,901.0575713472024,642.9948294756398,1106.5428983295542,901.0575713472024,901.0575713472024,-29.359316686967116,-29.359316686967116,-29.359316686967116,-17.592997133726165,-17.592997133726165,-17.592997133726165,-11.76631955324095,-11.76631955324095,-11.76631955324095,0.0,0.0,0.0,871.6982546602353
2020-03-25,901.0470601494995,659.3528657542873,1171.8581978500697,901.0470601494995,901.0470601494995,15.328625851660087,15.328625851660087,15.328625851660087,18.18776837095182,18.18776837095182,18.18776837095182,-2.859142519291734,-2.859142519291734,-2.859142519291734,0.0,0.0,0.0,916.3756860011596
2020-03-26,901.0365489517966,653.1948306459865,1153.9669678260686,901.0365489517966,901.0365489517966,1.2782751546051878,1.2782751546051878,1.2782751546051878,-4.846181999931312,-4.846181999931312,-4.846181999931312,6.1244571545365,6.1244571545365,6.1244571545365,0.0,0.0,0.0,902.3148241064018
2020-03-27,901.0260377540937,647.1441976861572,1133.6933074142771,901.0260377540937,901.0260377540937,-11.206378036991168,-11.206378036991168,-11.206378036991168,-26.34894694769062,-26.34894694769062,-26.34894694769062,15.142568910699453,15.142568910699453,15.142568910699453,0.0,0.0,0.0,889.8196597171026
2020-04-01,900.9734817655792,714.9706778283654,1219.0919607376175,900.9734817655792,900.9734817655792,78.02222570014497,78.02222570014497,78.02222570014497,18.187768370942372,18.187768370942372,18.187768370942372,59.8344573292026,59.8344573292026,59.8344573292026,0.0,0.0,0.0,978.9957074657242
2020-04-02,900.9629705678763,720.4246527834019,1220.6806871248934,900.9629705678763,900.9629705678763,63.76711039630941,63.76711039630941,63.76711039630941,-4.846182000021369,-4.846182000021369,-4.846182000021369,68.61329239633078,68.61329239633078,68.61329239633078,0.0,0.0,0.0,964.7300809641856
2020-04-03,900.9524593701733,694.1548783574117,1187.1114693322281,900.9524593701733,900.9524593701733,50.99324995192078,50.99324995192078,50.99324995192078,-26.348946947623133,-26.348946947623133,-26.348946947623133,77.34219689954391,77.34219689954391,77.34219689954391,0.0,0.0,0.0,951.9457093220941
2020-04-04,900.9419481724703,734.0209145021663,1239.4630651191678,900.9419481724703,900.9419481724703,91.54954750294532,91.54954750294532,91.54954750294532,5.516960428078521,5.516960428078521,5.516960428078521,86.0325870748668,86.0325870748668,86.0325870748668,0.0,0.0,0.0,992.4914956754156
2020-04-05,900.9314369747675,774.1525480483579,1255.7966543786156,900.9314369747675,900.9314369747675,104.45703016112792,104.45703016112792,104.45703016112792,9.757778783399683,9.757778783399683,9.757778783399683,94.69925137772823,94.69925137772823,94.69925137772823,0.0,0.0,0.0,1005.3884671358954
2020-04-06,900.9209257770646,770.2109906651184,1264.522395784919,900.9209257770646,900.9209257770646,118.68499575446266,118.68499575446266,118.68499575446266,15.325618498866332,15.325618498866332,15.325618498866332,103.35937725559634,103.35937725559634,103.35937725559634,0.0,0.0,0.0,1019.6059215315272
2020-04-07,900.9104145793617,740.0034471608977,1247.9589379276229,900.9104145793617,900.9104145793617,94.43858851690892,94.43858851690892,94.43858851690892,-17.592997133774983,-17.592997133774983,-17.592997133774983,112.0315856506839,112.0315856506839,112.0315856506839,0.0,0.0,0.0,995.3490030962706
2020-04-08,900.8999033816588,786.672640107057,1276.9034420473301,900.8999033816588,900.8999033816588,138.9227674301547,138.9227674301547,138.9227674301547,18.18776837100356,18.18776837100356,18.18776837100356,120.73499905915114,120.73499905915114,120.73499905915114,0.0,0.0,0.0,1039.8226708118134
2020-04-09,900.8893921839559,768.3418091629583,1279.5776014172507,900.8893921839559,900.8893921839559,124.64218408965124,124.64218408965124,124.64218408965124,-4.846182000022413,-4.846182000022413,-4.846182000022413,129.48836608967366,129.48836608967366,129.48836608967366,0.0,0.0,0.0,1025.5315762736072
2020-04-10,900.878880986253,772.9915665590463,1267.6934107685615,900.878880986253,900.878880986253,111.96031515418828,111.96031515418828,111.96031515418828,-26.34894694755565,-26.34894694755565,-26.34894694755565,138.30926210174394,138.30926210174394,138.30926210174394,0.0,0.0,0.0,1012.8391961404412
2020-04-11,900.86836978855,806.7081615050107,1306.9313726239477,900.86836978855,900.86836978855,152.73034222401995,152.73034222401995,152.73034222401995,5.516960428048995,5.516960428048995,5.516960428048995,147.21338179597097,147.21338179597097,147.21338179597097,0.0,0.0,0.0,1053.5987120125699
